seguros_id,FECHAFK,RAMO,SEGMENTO_RAMO,COMPANIA_ORIGINA,COMPANIA,M_SINIESTROS_INCURRIDOS,M_PRIMAS_DEVENGADAS,M_PRIMAS_EMITIDAS,M_RESULTADO_TECNICO,M_GASTOS_ADMINISTRATIVOS_Y_DE
0,20181101,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,364.805,-216.975,715.295,-120618.625,41753.522
1,20181101,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,40.468,270.171,82.02,-13444.916,28062.724
2,20181101,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,261.993,385.504,364.27,-3440.699,5288.358
3,20181101,Exequias,Vida,LIBERTY VIDA,LIBERTY,527.632,797.647,377.862,-10235.722,19217.037
4,20181101,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,2538.972,2848.51,2900.523,-1121526.055,139621.655
5,20181101,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,1344.073,1612.163,1361.077,-53383.597,45300.013
6,20181201,Exequias,Vida,LIBERTY VIDA,LIBERTY,406.521,723.87,375.513,-6344.083,20672.277
7,20181201,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1253.906,2488.488,2319.266,-42659.906,123076.287
8,20181201,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,1621.738,1433.239,1013.632,-73007.109,30719.79
9,20181201,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,-445.709,437.37,476.909,64706.321,9496.124
10,20181201,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,-73.735,224.012,67.964,-5787.835,20507.265
11,20181201,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,-254.909,-330.004,385.248,-22177.686,-458884.291
12,20190101,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,98.337,371.64,280.051,11942.091,3738.811
13,20190101,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,59.286,151.083,49.244,-31517.649,25599.957
14,20190101,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1662.084,2912.199,2294.463,-126179.533,129012.632
15,20190101,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,222.654,615.113,644.396,-9903.832,3958.692
16,20190101,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,853.608,1279.274,1039.341,-62850.923,3622.138
17,20190101,Exequias,Vida,LIBERTY VIDA,LIBERTY,428.199,495.089,281.431,-33849.219,23865.564
18,20190201,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,684.312,514.355,570.34,-64524.131,69908.891
19,20190201,Exequias,Vida,LIBERTY VIDA,LIBERTY,578.197,578.247,377.951,-39951.23,24635.121
20,20190201,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,2843.348,2540.006,1969.555,-200235.883,102741.282
21,20190201,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,-23.977,321.318,259.8,15544.204,9593.313
22,20190201,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,1251.936,1044.577,722.895,-72894.832,2769.781
23,20190201,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,352.88,81.509,38.57,-38409.896,6534.375
24,20190301,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1218.895,1359.267,1914.552,-212933.84,117017.511
25,20190301,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,118.18,-234.812,559.771,-73687.548,25490.17
26,20190301,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,316.685,768.498,673.059,-55613.812,94387.469
27,20190301,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,118.561,89.171,110.377,-36288.14,24827.816
28,20190301,Exequias,Vida,LIBERTY VIDA,LIBERTY,309.474,530.87,373.321,-14167.153,22863.256
29,20190301,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,355.996,205.539,198.024,-33177.187,6976.071
30,20190401,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,800.873,616.936,448.945,-74786.196,41460.843
31,20190401,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,215.019,281.407,613.554,-35496.104,32735.101
32,20190401,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,59.037,70.359,26.951,-22029.986,19991.861
33,20190401,Exequias,Vida,LIBERTY VIDA,LIBERTY,117.23,415.065,217.061,86911.608,37809.631
34,20190401,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,152.316,174.273,149.238,-14040.053,12656.367
35,20190401,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1344.476,1558.039,1455.75,-163984.137,144653.803
36,20190501,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1302.52,1582.073,1664.641,604780.495,256347.116
37,20190501,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,168.804,156.684,140.574,-15751.073,8160.689
38,20190501,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,-23.807,60.084,27.396,-15884.953,23131.109
39,20190501,Exequias,Vida,LIBERTY VIDA,LIBERTY,257.103,353.629,218.395,-124470.291,17436.16
40,20190501,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,108.581,344.31,647.653,-170215.354,172930.208
41,20190501,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,791.84,667.366,630.623,-60417.321,34688.951
42,20190601,Exequias,Vida,LIBERTY VIDA,LIBERTY,138.358,384.856,168.151,6660.622,9629.892
43,20190601,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,2.079,737.008,535.545,17651.318,43539.646
44,20190601,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,743.228,1792.719,1158.853,-896323.39,-666728.973
45,20190601,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,25.07,144.189,136.922,5843.287,2504.362
46,20190601,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,616.401,489.499,317.086,-33582.332,13184.446
47,20190601,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,13.196,37.167,1.149,-11107.997,11803.02
48,20190701,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,524.686,387.168,456.162,-77652.921,54048.318
49,20190701,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,-259.092,17.21,2.973,6570.996,23923.736
50,20190701,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,26.129,99.983,46.96,-2020.693,7458.85
51,20190701,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,654.853,317.79,217.08,-61873.75,19742.054
52,20190701,Exequias,Vida,LIBERTY VIDA,LIBERTY,183.615,275.299,175.054,-25950.24,26728.493
53,20190701,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1130.189,1097.451,898.229,-160926.608,879291.79
54,20190801,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1399.258,216.449,523.861,-176456.7,-14383.315
55,20190801,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,286.682,17.436,-0.681,-18449.62,-9041.886
56,20190801,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,591.688,-47.713,-129.145,-34130.191,-192675.718
57,20190801,Exequias,Vida,LIBERTY VIDA,LIBERTY,386.742,210.696,136.368,-7332.82,-63196.485
58,20190801,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,19.367,44.578,21.666,858.996,551.826
59,20190801,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,114.778,-8.548,495.653,-117403.065,95359.272
60,20190901,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,-162.64,1110.375,1310.243,28060.673,74032.416
61,20190901,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,58.222,15.552,11.191,-9435.426,4297.142
62,20190901,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,-10.368,694.445,956.438,480236.015,38366.191
63,20190901,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,-145.982,195.311,171.592,16947.302,168367.649
64,20190901,Exequias,Vida,LIBERTY VIDA,LIBERTY,-39.486,201.191,168.971,6886.336,7732.079
65,20190901,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,-25.027,3.877,2.051,-7612.957,9889.03
66,20191001,Exequias,Vida,LIBERTY VIDA,LIBERTY,0.0,0.0,0.0,-22328.847,22328.847
67,20191001,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,0.0,0.0,0.0,-16889.349,-48654.753
68,20191001,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,282.909,216.107,668.86,1160311.74,121386.763
69,20191001,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,282.909,216.108,668.86,-497258.279,25011.537
70,20191001,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,0.0,0.0,0.0,-15070.457,15070.457
71,20191001,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,0.0,0.0,0.0,-42086.572,42086.573
72,20191201,Exequias,Vida,LIBERTY VIDA,LIBERTY,2359.432,3444.942,2116.703,-167591.234,129832.558
73,20191201,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,5731.902,5331.538,4091.476,-481288.627,227634.186
74,20191201,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,2262.83,3546.554,6148.372,-548253.901,561348.026
75,20191201,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,581.716,527.896,258.03,-189800.659,151729.475
76,20191201,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,11764.267,14384.685,13859.007,-143887.183,1143371.025
77,20191201,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,880.264,1533.756,1244.426,-57125.203,7282.678
78,20181101,Vida Grupo,Vida,QBE,QBE,1257.484,2314.266,2133.34,-34189.658,-9561.192
79,20181101,Enfermedades de alto costo,Vida,QBE,QBE,907.887,443.722,432.626,-61224.008,-261.084
80,20181101,Total ramos de personas,Vida,QBE,QBE,3306.284,3904.368,3690.756,408768.524,-4867.783
81,20181101,Accidentes personales,Vida,QBE,QBE,963.327,1146.38,1124.79,-42221.512,-102231.321
82,20181201,Accidentes personales,Vida,QBE,QBE,1220.524,1935.284,1927.64,3084.655,127815.717
83,20181201,Enfermedades de alto costo,Vida,QBE,QBE,-504.973,294.28,319.311,98916.744,-15631.088
84,20181201,Total ramos de personas,Vida,QBE,QBE,1326.255,4704.68,4784.813,-503457.803,75716.342
85,20181201,Vida Grupo,Vida,QBE,QBE,635.724,2475.117,2537.862,-16418.955,52686.073
86,20190101,Vida Grupo,Vida,QBE,QBE,1002.405,2475.342,2451.772,-12965.665,88134.486
87,20190101,Enfermedades de alto costo,Vida,QBE,QBE,376.787,296.936,281.093,-21349.804,5606.272
88,20190101,Accidentes personales,Vida,QBE,QBE,1572.282,330.992,322.472,-173185.921,2596.036
89,20190101,Total ramos de personas,Vida,QBE,QBE,3707.972,3103.27,3055.337,-399842.171,119701.118
90,20190201,Accidentes personales,Vida,QBE,QBE,2127.76,1185.434,1220.516,-168919.242,51516.112
91,20190201,Total ramos de personas,Vida,QBE,QBE,3191.874,3520.47,3346.969,-206960.421,69950.504
92,20190201,Enfermedades de alto costo,Vida,QBE,QBE,-68.637,420.083,407.328,32373.378,6110.612
93,20190201,Vida Grupo,Vida,QBE,QBE,1506.957,1914.953,1719.125,-10774.704,-75752.227
94,20190301,Total ramos de personas,Vida,QBE,QBE,1898.702,2509.589,2337.791,-222302.67,125129.377
95,20190301,Enfermedades de alto costo,Vida,QBE,QBE,592.998,319.268,319.268,-44212.488,7723.761
96,20190301,Accidentes personales,Vida,QBE,QBE,826.733,330.425,317.156,-94242.218,20608.418
97,20190301,Vida Grupo,Vida,QBE,QBE,417.021,1859.897,1701.367,-291294.246,208215.547
98,20190401,Total ramos de personas,Vida,QBE,QBE,1119.784,2334.279,2173.921,-131639.365,93697.913
99,20190401,Accidentes personales,Vida,QBE,QBE,-178.274,335.257,322.66,-6128.026,22834.922
100,20190401,Enfermedades de alto costo,Vida,QBE,QBE,135.249,351.185,351.185,-852.382,10114.063
101,20190401,Vida Grupo,Vida,QBE,QBE,701.892,1647.836,1500.076,-77712.379,60747.087
102,20190501,Enfermedades de alto costo,Vida,QBE,QBE,196.06,284.707,284.707,-5486.476,6485.838
103,20190501,Accidentes personales,Vida,QBE,QBE,332.159,321.589,302.138,-36031.051,-86628.656
104,20190501,Total ramos de personas,Vida,QBE,QBE,715.626,2511.251,2308.207,-49839.368,-360663.707
105,20190501,Vida Grupo,Vida,QBE,QBE,533.67,1904.955,1721.361,-42951.059,51477.316
106,20190601,Vida Grupo,Vida,QBE,QBE,4750.016,1578.174,1492.661,-492545.551,63512.947
107,20190601,Enfermedades de alto costo,Vida,QBE,QBE,1380.188,258.28,258.281,-128169.47,8634.859
108,20190601,Accidentes personales,Vida,QBE,QBE,590.343,322.155,316.321,-71488.967,119417.63
109,20190601,Total ramos de personas,Vida,QBE,QBE,5531.18,2158.61,2067.262,-573273.401,523566.784
110,20190701,Accidentes personales,Vida,QBE,QBE,-714.353,323.836,312.523,64133.366,15512.242
111,20190701,Enfermedades de alto costo,Vida,QBE,QBE,406.865,217.013,222.436,-31629.334,6247.463
112,20190701,Total ramos de personas,Vida,QBE,QBE,97.486,2095.234,2351.728,-55430.248,-505397.148
113,20190701,Vida Grupo,Vida,QBE,QBE,804.978,1554.386,1816.769,-127652.329,66705.962
114,20190801,Enfermedades de alto costo,Vida,QBE,QBE,-31.681,231.832,226.408,180935.614,4177.943
115,20190801,Total ramos de personas,Vida,QBE,QBE,3057.639,2829.273,3962.358,-367580.054,718931.872
116,20190801,Vida Grupo,Vida,QBE,QBE,943.39,2286.466,3428.671,-163146.408,108315.763
117,20190801,Accidentes personales,Vida,QBE,QBE,1364.977,310.975,307.28,-141361.265,-130013.651
118,20190901,Accidentes personales,Vida,QBE,QBE,424.278,305.666,304.824,-42855.219,610.256
119,20190901,Vida Grupo,Vida,QBE,QBE,796.059,1502.441,1485.81,1091763.903,4915.87
120,20190901,Total ramos de personas,Vida,QBE,QBE,1321.125,1999.622,1982.15,-94867.144,12698.13
121,20190901,Enfermedades de alto costo,Vida,QBE,QBE,1600.95,191.515,191.515,-313738.176,1613.174
122,20191001,Vida Grupo,Vida,QBE,QBE,814.066,1554.574,1723.023,-1257294.87,53688.502
123,20191001,Enfermedades de alto costo,Vida,QBE,QBE,172.307,14.089,14.089,-16790.19,582.97
124,20191001,Total ramos de personas,Vida,QBE,QBE,1529.989,1872.335,2040.252,-190032.107,-711136.851
125,20191001,Accidentes personales,Vida,QBE,QBE,543.616,303.672,303.14,-61452.832,160973.228
126,20191101,Enfermedades de alto costo,Vida,QBE,QBE,384.198,44.656,44.656,-37284.103,-51369.667
127,20191101,Total ramos de personas,Vida,QBE,QBE,1069.32,2096.958,2088.765,-226615.83,858459.255
128,20191101,Vida Grupo,Vida,QBE,QBE,207.262,1751.539,1743.604,-136053.22,65143.556
129,20191101,Accidentes personales,Vida,QBE,QBE,477.859,300.763,300.505,-53278.87,13038.21
130,20191201,Total ramos de personas,Vida,QBE,QBE,-2624.168,2368.59,2308.707,-61719.16,409835.637
131,20191201,Vida Grupo,Vida,QBE,QBE,-942.358,2029.977,1972.635,1355161.797,303338.343
132,20191201,Accidentes personales,Vida,QBE,QBE,-1489.704,297.044,294.502,713632.379,83450.716
133,20191201,Enfermedades de alto costo,Vida,QBE,QBE,-192.105,41.569,41.569,-723.727,76385.934
134,20200201,Accidentes personales,Vida,QBE,QBE,161.388,594.881,662.463,-1854.663,35677.519
135,20200201,Vida Grupo,Vida,QBE,QBE,253.858,226.379,3101.854,-316456.672,160005.683
136,20200201,Total ramos de personas,Vida,QBE,QBE,365.627,827.867,3770.923,-330022.939,19603.755
137,20200201,Enfermedades de alto costo,Vida,QBE,QBE,-49.619,6.606,6.606,5084.676,354.349
138,20200301,Accidentes personales,Vida,QBE,QBE,-352.807,40.009,33.989,17769.456,1119.058
139,20200301,Enfermedades de alto costo,Vida,QBE,QBE,343.434,0.0,0.0,-34343.427,0.0
140,20200301,Vida Grupo,Vida,QBE,QBE,-34.013,982.963,1680.686,-1769.901,87413.523
141,20200301,Total ramos de personas,Vida,QBE,QBE,-43.386,1022.971,1714.676,-1651.905,264966.376
142,20200401,Enfermedades de alto costo,Vida,QBE,QBE,-2.51,0.0,0.0,249.392,1.662
143,20200401,Accidentes personales,Vida,QBE,QBE,-447.959,933.871,947.132,115051.978,14725.146
144,20200401,Total ramos de personas,Vida,QBE,QBE,-2154.277,2324.505,2180.996,292586.517,132850.712
145,20200401,Vida Grupo,Vida,QBE,QBE,-1703.808,1390.634,1233.864,177285.148,118123.902
146,20200501,Vida Grupo,Vida,QBE,QBE,114.417,489.261,211.389,-32551.202,-323250.375
147,20200501,Accidentes personales,Vida,QBE,QBE,92.409,340.994,920.92,-9614.676,24912.65
148,20200501,Total ramos de personas,Vida,QBE,QBE,205.489,830.256,1132.308,-42033.429,82298.124
149,20200501,Enfermedades de alto costo,Vida,QBE,QBE,-1.337,0.0,0.0,26121.668,1.252
150,20200601,Accidentes personales,Vida,QBE,QBE,-94.971,350.186,889.345,-120689.72,-74763.179
151,20200601,Vida Grupo,Vida,QBE,QBE,598.662,1286.59,977.672,-23329.187,461865.554
152,20200601,Total ramos de personas,Vida,QBE,QBE,148.473,1636.775,1867.018,-42923.295,171917.287
153,20200601,Enfermedades de alto costo,Vida,QBE,QBE,-355.218,0.0,0.0,9531.27,1.278
154,20200701,Vida Grupo,Vida,QBE,QBE,102.007,1969.905,3155.149,-21348.304,186162.407
155,20200701,Accidentes personales,Vida,QBE,QBE,-127.108,775.89,810.979,-118.464,939.23
156,20200701,Total ramos de personas,Vida,QBE,QBE,-25.101,2745.795,3966.128,-33195.91,280086.595
157,20200701,Enfermedades de alto costo,Vida,QBE,QBE,0.0,0.0,0.0,-1.168,1.168
158,20200801,Total ramos de personas,Vida,QBE,QBE,-154.741,3887.404,3832.447,198156.414,321962.424
159,20200801,Enfermedades de alto costo,Vida,QBE,QBE,-3.737,0.0,0.0,824.596,-353.222
160,20200801,Vida Grupo,Vida,QBE,QBE,-1342.025,2966.465,2924.063,318137.834,218803.709
161,20200801,Accidentes personales,Vida,QBE,QBE,1191.022,920.939,908.385,-1208.061,1034.077
162,20200901,Accidentes personales,Vida,QBE,QBE,-263.778,692.815,828.488,-307.979,1171.854
163,20200901,Enfermedades de alto costo,Vida,QBE,QBE,-129.461,0.0,0.0,12945.065,0.956
164,20200901,Vida Grupo,Vida,QBE,QBE,-1998.917,2911.605,4635.585,211591.928,238500.325
165,20200901,Total ramos de personas,Vida,QBE,QBE,-2392.156,3604.42,5464.073,193739.008,355686.696
166,20201001,Total ramos de personas,Vida,QBE,QBE,156.032,3521.167,4504.032,-4172.196,-1435321.255
167,20201001,Enfermedades de alto costo,Vida,QBE,QBE,-1.786,0.0,0.0,177.353,1.323
168,20201001,Vida Grupo,Vida,QBE,QBE,134.052,2829.407,3755.25,-278255.198,226261.95
169,20201001,Accidentes personales,Vida,QBE,QBE,23.766,691.76,748.782,-258.344,848.719
170,20201101,Total ramos de personas,Vida,QBE,QBE,156.48,3394.185,4219.953,-567319.704,2067613.16
171,20201101,Accidentes personales,Vida,QBE,QBE,25.434,749.192,805.345,-318.29,949.831
172,20201101,Enfermedades de alto costo,Vida,QBE,QBE,0.98,0.0,0.0,-540725.703,0.581
173,20201101,Vida Grupo,Vida,QBE,QBE,130.066,2644.993,3414.608,304975.048,-1213880.707
174,20201201,Total ramos de personas,Vida,QBE,QBE,110.03,2886.507,3940.259,-62401.276,288722.934
175,20201201,Accidentes personales,Vida,QBE,QBE,-1.086,600.477,712.772,-580.814,1008.718
176,20201201,Enfermedades de alto costo,Vida,QBE,QBE,-17.779,0.0,0.0,468300.39,0.48
177,20201201,Vida Grupo,Vida,QBE,QBE,128.894,2286.03,3227.486,-6097.281,1627904.352
178,20210101,Accidentes personales,Vida,QBE,QBE,218.598,734.405,843.186,-411.277,820.824
179,20210101,Vida Grupo,Vida,QBE,QBE,213.689,2634.966,3456.704,-14249.361,235631.011
180,20210101,Total ramos de personas,Vida,QBE,QBE,428.551,3369.37,4299.889,-55000.562,317713.457
181,20210201,Vida Grupo,Vida,QBE,QBE,97.841,1987.836,2618.148,24005.03,157503.432
182,20210201,Accidentes personales,Vida,QBE,QBE,-203.538,737.394,857.805,247.817,730.94
183,20210201,Total ramos de personas,Vida,QBE,QBE,-94.193,2725.231,3475.955,54263.855,230597.367
184,20210301,Accidentes personales,Vida,QBE,QBE,107.722,665.649,942.199,-391.02,865.468
185,20210301,Total ramos de personas,Vida,QBE,QBE,180.714,2214.169,4272.883,-94402.62,269275.351
186,20210301,Vida Grupo,Vida,QBE,QBE,62.483,1548.52,3330.685,-47619.286,182728.493
187,20210401,Vida Grupo,Vida,QBE,QBE,-656.113,2108.099,2829.07,60400.638,193341.973
188,20210401,Total ramos de personas,Vida,QBE,QBE,-657.377,2213.198,2952.247,24778.202,224382.356
189,20210401,Accidentes personales,Vida,QBE,QBE,-1.265,105.098,123.177,-356.224,310.404
190,20210501,Total ramos de personas,Vida,QBE,QBE,-136.46,2593.447,3308.438,52749.834,194997.174
191,20210501,Vida Grupo,Vida,QBE,QBE,-156.02,1868.891,2530.56,925.254,171338.097
192,20210501,Accidentes personales,Vida,QBE,QBE,19.3,724.557,777.878,518.506,236.591
193,20210601,Vida Grupo,Vida,QBE,QBE,1099.265,1388.97,2458.493,-140639.561,150031.563
194,20210601,Total ramos de personas,Vida,QBE,QBE,588.982,2129.589,3351.386,-231765.194,358835.831
195,20210601,Accidentes personales,Vida,QBE,QBE,-15.892,740.619,892.893,-1405.648,2088.043
196,20210701,Total ramos de personas,Vida,QBE,QBE,-1175.746,1913.918,4253.35,7871.796,266613.419
197,20210701,Vida Grupo,Vida,QBE,QBE,-1178.753,1029.687,3357.16,24380.163,-964242.281
198,20210701,Accidentes personales,Vida,QBE,QBE,2.79,884.231,896.19,-164.865,938.651
199,20210801,Vida Grupo,Vida,QBE,QBE,462.773,1834.882,3361.211,91059.69856,-111817.81659999999
200,20210801,Accidentes personales,Vida,QBE,QBE,11.455,1025.506,1203.537,-61.95,940.027
201,20210801,Total ramos de personas,Vida,QBE,QBE,-180.189,2860.388,4564.748,238872.65621000002,-1840969.53551
202,20210901,Accidentes personales,Vida,QBE,QBE,-277.4,1056.577,1179.254,859.184,337.925
203,20210901,Total ramos de personas,Vida,QBE,QBE,644.446,3315.784,4425.788,-66.98583000000008,2284.4708200000005
204,20210901,Vida Grupo,Vida,QBE,QBE,1057.272,2259.207,3246.533,-1171.9915,1946.5461099999993
205,20211001,Accidentes personales,Vida,QBE,QBE,4.15,1042.78,1210.777,-696.677,1596.811
206,20211001,Total ramos de personas,Vida,QBE,QBE,137.34,3930.601,5486.84,-801.4668799999998,4176.489440000001
207,20211001,Vida Grupo,Vida,QBE,QBE,213.453,2887.821,4276.064,-188.60691999999992,2579.6779000000006
208,20211101,Total ramos de personas,Vida,QBE,QBE,395.14,3827.743,5015.519,-918.6217999999998,3915.534079999998
209,20211101,Vida Grupo,Vida,QBE,QBE,372.531,2784.024,3883.579,-615.10719,2755.46841
210,20211101,Accidentes personales,Vida,QBE,QBE,22.58,1043.719,1131.94,-270.134,1160.066
211,20211201,Accidentes personales,Vida,QBE,QBE,-116.153,1159.432,1410.908,-667.835,1743.062
212,20211201,Vida Grupo,Vida,QBE,QBE,457.594,2927.912,5255.754,-1170.93912,3162.3947300000004
213,20211201,Total ramos de personas,Vida,QBE,QBE,52.891,4087.344,6666.662,-1553.39091,4905.456590000003
214,20181101,Exequias,Vida,CHUBB,CHUBB,49.449,50.373,22.753,-1600.815,13205.278
215,20181101,Total ramos de personas,Vida,CHUBB,CHUBB,1424.758,11474.174,21878.744,176734.485,294032.736
216,20181101,Accidentes personales,Vida,CHUBB,CHUBB,820.816,6548.406,13466.696,319581.234,1417017.165
217,20181101,Vida Grupo,Vida,CHUBB,CHUBB,554.492,4875.395,8389.295,-141245.935,-615691.275
218,20181201,Exequias,Vida,CHUBB,CHUBB,34.059,72.816,52.472,759.823,2234.203
219,20181201,Total ramos de personas,Vida,CHUBB,CHUBB,720.383,11272.382,20645.587,226703.76,376858.665
220,20181201,Vida Grupo,Vida,CHUBB,CHUBB,465.311,4507.623,6054.279,-46580.87,890778.097
221,20181201,Accidentes personales,Vida,CHUBB,CHUBB,221.014,6691.943,14538.837,32109.032,223064.127
222,20190101,Vida Grupo,Vida,CHUBB,CHUBB,551.242,3134.602,4085.403,-42329.277,91555.976
223,20190101,Exequias,Vida,CHUBB,CHUBB,37.597,59.463,36.272,-83.148,143.031
224,20190101,Total ramos de personas,Vida,CHUBB,CHUBB,1183.681,7875.353,12383.518,43129.401,232882.619
225,20190101,Accidentes personales,Vida,CHUBB,CHUBB,594.841,4681.288,8261.844,85541.825,139896.333
226,20190201,Total ramos de personas,Vida,CHUBB,CHUBB,1052.465,7162.792,9362.587,14794.655,293300.22
227,20190201,Accidentes personales,Vida,CHUBB,CHUBB,645.654,4419.172,6256.537,72584.194,180431.378
228,20190201,Exequias,Vida,CHUBB,CHUBB,1.369,90.613,191.324,306.451,4217.104
229,20190201,Vida Grupo,Vida,CHUBB,CHUBB,405.443,2653.007,2914.725,-60105.716,109939.018
230,20190301,Accidentes personales,Vida,CHUBB,CHUBB,636.111,5508.921,11228.34,192909.97,184593.252
231,20190301,Total ramos de personas,Vida,CHUBB,CHUBB,1451.305,8610.44,15125.605,153175.133,282512.794
232,20190301,Vida Grupo,Vida,CHUBB,CHUBB,773.96,3045.144,3849.793,-39052.612,96659.109
233,20190301,Exequias,Vida,CHUBB,CHUBB,41.235,56.374,47.472,1327.502,1260.432
234,20190401,Vida Grupo,Vida,CHUBB,CHUBB,-438.991,3035.919,3411.462,74596.707,89428.101
235,20190401,Total ramos de personas,Vida,CHUBB,CHUBB,-209.289,11660.551,23261.874,268001.213,336911.881
236,20190401,Exequias,Vida,CHUBB,CHUBB,26.881,61.129,35.09,1001.257,1474.576
237,20190401,Accidentes personales,Vida,CHUBB,CHUBB,202.82,8563.503,19815.322,192403.249,246009.204
238,20190501,Vida Grupo,Vida,CHUBB,CHUBB,1111.444,3203.029,5242.15,-165395.728,79303.503
239,20190501,Total ramos de personas,Vida,CHUBB,CHUBB,2003.871,9798.282,19177.458,275.515,253045.337
240,20190501,Accidentes personales,Vida,CHUBB,CHUBB,867.044,6529.527,13854.735,164531.066,172304.437
241,20190501,Exequias,Vida,CHUBB,CHUBB,25.384,65.727,80.573,1140.177,-6241.889
242,20190601,Vida Grupo,Vida,CHUBB,CHUBB,1349.399,3675.336,3108.927,-53661.117,-408972.68
243,20190601,Total ramos de personas,Vida,CHUBB,CHUBB,2174.466,9540.321,11552.445,-36131.756,284154.743
244,20190601,Exequias,Vida,CHUBB,CHUBB,38.211,54.621,30.494,-303.096,8926.489
245,20190601,Accidentes personales,Vida,CHUBB,CHUBB,786.855,5810.365,8413.025,17832.457,-813844.846
246,20190701,Total ramos de personas,Vida,CHUBB,CHUBB,1858.594,8581.114,11727.846,115597.617,238153.264
247,20190701,Accidentes personales,Vida,CHUBB,CHUBB,1027.416,5047.692,8371.745,-639547.61,14041.358
248,20190701,Exequias,Vida,CHUBB,CHUBB,45.398,46.065,-1.986,-3154.4,989.216
249,20190701,Vida Grupo,Vida,CHUBB,CHUBB,785.779,3487.357,3358.087,-20109.419,9675.047
250,20190801,Total ramos de personas,Vida,CHUBB,CHUBB,220.469,8663.579,13299.584,197287.551,284472.061
251,20190801,Exequias,Vida,CHUBB,CHUBB,15.698,64.061,68.884,3654.709,1740.25
252,20190801,Vida Grupo,Vida,CHUBB,CHUBB,-201.166,3100.887,3155.93,124682.723,710505.565
253,20190801,Accidentes personales,Vida,CHUBB,CHUBB,405.937,5498.63,10074.769,847359.165,1291398.955
