covid_id,Departamento,Cantidad Casos,FECHAFK,Estado
161,CALDAS,50,20210807,leve
162,BOGOTA,15,20201215,
163,SAN ANDRES,79,20210510,Leve
164,CESAR,4,20210319,Fallecido
165,NORTE SANTANDER,3,20211127,
166,CESAR,11,20200808,Fallecido
167,CARTAGENA,13,20200501,Leve
168,CAQUETA,16,20210909,Leve
169,CHOCO,7,20220203,Leve
170,TOLIMA,405,20201106,Leve
171,SANTANDER,44,20210701,Fallecido
172,RISARALDA,21,20211113,Leve
173,TOLIMA,11,20200824,Fallecido
174,STA MARTA D.E.,1,20220116,Grave
175,NORTE SANTANDER,57,20211007,Leve
176,ANTIOQUIA,"2,276",20201009,Leve
177,BOGOTA,140,20211016,Leve
178,CAUCA,157,20220102,Leve
179,VALLE,10,20210221,Fallecido
180,AMAZONAS,125,20200513,Leve
181,AMAZONAS,32,20210304,Leve
182,ANTIOQUIA,7,20200908,
183,CALDAS,1,20210825,Fallecido
184,PUTUMAYO,2,20210106,Fallecido
185,CORDOBA,148,20210312,Leve
186,PUTUMAYO,21,20210301,Leve
187,ATLANTICO,202,20210701,Leve
188,RISARALDA,76,20210811,Leve
189,CORDOBA,6,20210504,Fallecido
190,ANTIOQUIA,"2,053",20210514,Leve
191,SUCRE,3,20210819,Fallecido
192,CAQUETA,3,20210626,Fallecido
193,CAQUETA,1,20210727,Fallecido
194,TOLIMA,1,20200923,
195,PUTUMAYO,1,20220126,
196,BOLIVAR,10,20211030,Leve
197,MAGDALENA,1,20211212,Fallecido
198,ATLANTICO,5,20210529,Fallecido
199,SUCRE,26,20200723,Fallecido
200,ATLANTICO,2,20201015,Fallecido
201,AMAZONAS,3,20201014,Leve
202,ANTIOQUIA,717,20210815,Leve
203,CARTAGENA,2,20210302,
204,CARTAGENA,478,20210501,Leve
205,CARTAGENA,48,20210908,Leve
206,STA MARTA D.E.,2,20200908,Fallecido
207,NARIÑO,6,20210114,Fallecido
208,NARIÑO,5,20201127,Fallecido
209,AMAZONAS,13,20200806,Leve
210,VALLE,2,20211104,Fallecido
211,CORDOBA,100,20200915,Leve
212,MAGDALENA,1,20200705,
213,BOYACA,202,20201226,Leve
214,ATLANTICO,58,20210216,Leve
215,VICHADA,5,20210703,Leve
216,CAUCA,1,20200422,Fallecido
217,CUNDINAMARCA,2,20210215,
218,CUNDINAMARCA,902,20210202,Leve
219,GUAVIARE,2,20200701,Leve
220,SUCRE,7,20210716,Fallecido
221,ATLANTICO,13,20200720,Fallecido
222,MAGDALENA,16,20210915,Leve
223,CALDAS,9,20210906,Leve
224,BOLIVAR,1,20210728,
225,CAQUETA,1,20200821,
226,RISARALDA,8,20211006,Leve
227,MAGDALENA,11,20210916,Leve
228,QUINDIO,4,20220210,Fallecido
229,CUNDINAMARCA,8,20200927,Fallecido
230,CHOCO,1,20201108,
231,STA MARTA D.E.,1,20210916,Fallecido
232,ANTIOQUIA,6,20200511,Leve
233,BARRANQUILLA,2,20200414,Leve
234,CORDOBA,259,20220126,Leve
235,CUNDINAMARCA,321,20220105,Leve
236,CESAR,27,20211007,Leve
237,META,2,20201029,Fallecido
238,CUNDINAMARCA,58,20210917,Leve
239,ATLANTICO,4,20210504,
240,META,24,20200726,Leve
241,STA MARTA D.E.,7,20210601,Fallecido
242,SUCRE,1,20200804,
243,PUTUMAYO,2,20210913,Leve
244,NORTE SANTANDER,116,20200913,Leve
245,SUCRE,5,20200528,Leve
246,RISARALDA,9,20210116,Fallecido
247,CUNDINAMARCA,416,20201229,Leve
248,NARIÑO,1,20201107,
249,GUAJIRA,1,20201227,
250,CALDAS,7,20201101,Fallecido
251,CARTAGENA,2,20210525,
252,CALDAS,9,20210407,Fallecido
253,SUCRE,10,20211225,Leve
254,CALDAS,2,20200416,Leve
255,BOGOTA,"4,866",20200819,Leve
256,CALDAS,123,20201227,Leve
257,BOGOTA,2,20210425,leve
258,SANTANDER,7,20200910,
259,VICHADA,1,20211229,Fallecido
260,GUAJIRA,7,20210628,Leve
261,CALDAS,289,20201126,Leve
262,SAN ANDRES,72,20210517,Leve
263,MAGDALENA,39,20210729,Leve
264,VICHADA,6,20210714,Leve
265,BARRANQUILLA,5,20210618,Fallecido
266,CAUCA,172,20201006,Leve
267,NARIÑO,1,20211108,Fallecido
268,BOLIVAR,11,20211201,Leve
269,CUNDINAMARCA,100,20200626,Leve
270,HUILA,10,20210623,Fallecido
271,SANTANDER,1,20210907,Fallecido
272,BARRANQUILLA,266,20211121,Leve
273,AMAZONAS,1,20200517,Leve
274,NORTE SANTANDER,7,20200703,Leve
275,HUILA,40,20210227,Leve
276,SANTANDER,1,20211207,
277,ARAUCA,35,20201101,Leve
278,CUNDINAMARCA,923,20210720,Leve
279,CALDAS,2,20210728,Fallecido
280,QUINDIO,1,20210930,Fallecido
281,TOLIMA,27,20210306,Leve
282,NORTE SANTANDER,1,20200415,
283,STA MARTA D.E.,63,20201031,Leve
284,CORDOBA,2,20201101,Fallecido
285,GUAJIRA,74,20201126,Leve
286,CASANARE,14,20210408,Leve
287,BARRANQUILLA,2,20201130,Fallecido
288,PUTUMAYO,3,20210704,Fallecido
289,NORTE SANTANDER,1,20210508,
290,CORDOBA,178,20210402,Leve
291,STA MARTA D.E.,38,20201028,Leve
292,ANTIOQUIA,521,20211223,Leve
293,CESAR,5,20201209,Fallecido
294,TOLIMA,1,20200918,Fallecido
295,CHOCO,27,20210310,Leve
296,NORTE SANTANDER,42,20200714,Leve
297,TOLIMA,636,20201031,Leve
298,QUINDIO,2,20210722,
299,CUNDINAMARCA,"1,770",20220119,Leve
300,PUTUMAYO,2,20200924,Fallecido
301,CAQUETA,3,20200919,Fallecido
302,TOLIMA,4,20201210,Fallecido
303,CORDOBA,2,20201128,Fallecido
304,NORTE SANTANDER,162,20211105,Leve
305,CORDOBA,9,20210322,Fallecido
306,RISARALDA,96,20220103,Leve
307,PUTUMAYO,29,20211113,Leve
308,BOYACA,1,20220109,Fallecido
309,BOGOTA,78,20201219,Fallecido
310,VALLE,3,20211226,Fallecido
311,GUAJIRA,61,20210801,Leve
312,META,813,20210611,Leve
313,QUINDIO,1,20201221,
314,CESAR,3,20201019,Fallecido
315,NORTE SANTANDER,237,20220111,leve
316,RISARALDA,63,20201014,Leve
317,STA MARTA D.E.,307,20220131,Leve
318,STA MARTA D.E.,1,20220203,Moderado
319,ANTIOQUIA,"1,929",20201224,Leve
320,HUILA,2,20200903,
321,TOLIMA,1,20201223,
322,CAQUETA,6,20220202,Fallecido
323,RISARALDA,4,20210426,Fallecido
324,ATLANTICO,5,20200925,Fallecido
325,CARTAGENA,981,20210627,Leve
326,BOGOTA,1,20200415,
327,TOLIMA,189,20210104,Leve
328,SANTANDER,89,20210312,Leve
329,CORDOBA,1,20201118,Fallecido
330,BOYACA,99,20201122,Leve
331,ARAUCA,1,20210918,leve
332,NORTE SANTANDER,92,20200929,Leve
333,ANTIOQUIA,1,20210801,leve
334,HUILA,3,20200801,Fallecido
335,BOLIVAR,2,20200503,Leve
336,MAGDALENA,2,20200629,Fallecido
337,BOGOTA,807,20200622,Leve
338,ANTIOQUIA,648,20201118,Leve
339,STA MARTA D.E.,30,20200918,Leve
340,CHOCO,1,20201028,
341,SUCRE,7,20211202,Leve
342,STA MARTA D.E.,52,20220213,Leve
343,CESAR,28,20210923,Leve
344,GUAINIA,4,20210128,Leve
345,CHOCO,2,20210618,Fallecido
346,BOLIVAR,1,20211005,Fallecido
347,VALLE,"1,076",20210803,Leve
348,HUILA,126,20210507,Leve
349,VALLE,4,20210429,
350,BOGOTA,5,20201129,
351,META,23,20211222,Leve
352,GUAINIA,1,20200915,
353,AMAZONAS,11,20200607,Leve
354,CUNDINAMARCA,335,20210209,Leve
355,VAUPES,5,20210128,Leve
356,PUTUMAYO,1,20211031,
357,QUINDIO,45,20211125,Leve
358,CASANARE,1,20211127,Fallecido
359,PUTUMAYO,4,20220127,Moderado
360,ARAUCA,2,20210530,Fallecido
361,CESAR,23,20200613,Leve
362,ARAUCA,13,20210105,Leve
363,RISARALDA,2,20201101,
364,ANTIOQUIA,85,20210402,Fallecido
365,STA MARTA D.E.,144,20210310,leve
366,CALDAS,38,20211225,Leve
367,CAQUETA,13,20201208,Leve
